Area name,Median age 2011,Median age 2021,Value change
London,Region,33,35,2
City of London,39,37,-2
Barking and Dagenham,32,33,1
Barnet,35,37,2
Bexley,39,39,0
Brent,32,35,3
Bromley,40,41,1
Camden,33,34,1
Croydon,35,37,2
Ealing,33,36,3
Enfield,34,37,3
Greenwich,33,35,2
Hackney,30,32,2
Hammersmith and Fulham,32,34,2
Haringey,32,36,4
Harrow,36,38,2
Havering,40,39,-1
Hillingdon,35,36,1
Hounslow,33,36,3
Islington,31,33,2
Kensington and Chelsea,36,39,3
Kingston upon Thames,35,38,3
Lambeth,31,33,2
Lewisham,33,35,2
Merton,34,37,3
Newham,29,32,3
Redbridge,34,36,2
Richmond upon Thames,38,41,3
Southwark,32,33,1
Sutton,38,39,1
Tower Hamlets,29,30,1
Waltham Forest,32,35,3
Wandsworth,32,33,1
Westminster,34,35,1